clip_id,categories,duration,youtube_id
LEwayCpIk20.78,['Film & Animation'],"['00:12:10.470', '00:12:23.490']",LEwayCpIk20
R2-Usq--J3U.2,['News & Politics'],"['00:00:18.740', '00:00:38.120']",R2-Usq--J3U
mIRf-AWwUEs.13,['News & Politics'],"['00:01:40.680', '00:01:50.970']",mIRf-AWwUEs
Y011-c7TgU8.4,['Music'],"['00:01:02.710', '00:01:12.970']",Y011-c7TgU8
XwUsm8GsOgs.5,['Science & Technology'],"['00:01:15.390', '00:01:25.439']",XwUsm8GsOgs
Xbd2UtNNdRE.1,['Music'],"['00:00:37.060', '00:00:47.890']",Xbd2UtNNdRE
p4jAhLk1wPQ.9,['Sports'],"['00:02:45.750', '00:02:59.160']",p4jAhLk1wPQ
a0ZuGS6hG40.15,['Science & Technology'],"['00:02:41.550', '00:03:05.250']",a0ZuGS6hG40
nfpHuhy_7RI.12,['Travel & Events'],"['00:02:17.220', '00:02:29.220']",nfpHuhy_7RI
k0_p-Ok6tqo.5,['Entertainment'],"['00:00:55.600', '00:01:07.660']",k0_p-Ok6tqo
qZDF__7LNKc.4,['People & Blogs'],"['00:00:43.469', '00:00:55.949']",qZDF__7LNKc
L0fIiAD33vM.25,['Sports'],"['00:04:06.739', '00:04:18.420']",L0fIiAD33vM
p9uxVUFOYJA.3,['Science & Technology'],"['00:01:02.040', '00:01:12.229']",p9uxVUFOYJA
VbllpWKvKTk.23,['People & Blogs'],"['00:03:34.849', '00:03:45.979']",VbllpWKvKTk
rH2vGN_v9K4.17,['Sports'],"['00:04:12.909', '00:04:30.639']",rH2vGN_v9K4
pOHPcX2onYg.62,['Autos & Vehicles'],"['00:09:39.800', '00:09:54.410']",pOHPcX2onYg
3FGnfc_hadY.42,['Film & Animation'],"['00:08:33.830', '00:08:44.899']",3FGnfc_hadY
q4suuovOsoI.13,['Entertainment'],"['00:02:13.709', '00:02:23.760']",q4suuovOsoI
eTsPNFH0sdA.20,['Howto & Style'],"['00:02:54.090', '00:03:09.209']",eTsPNFH0sdA
FT-vF-lvu7A.14,['People & Blogs'],"['00:04:48.970', '00:04:59.680']",FT-vF-lvu7A
lNUJfKE2b8o.14,['People & Blogs'],"['00:01:42.330', '00:02:01.680']",lNUJfKE2b8o
phUa_vmf9oo.11,['Autos & Vehicles'],"['00:02:07.700', '00:02:26.260']",phUa_vmf9oo
aEaZcZdqDjg.18,['Music'],"['00:04:11.150', '00:04:27.580']",aEaZcZdqDjg
oHCfQhhlSxo.9,['Sports'],"['00:02:20.240', '00:02:30.800']",oHCfQhhlSxo
N5WEC4azeOo.46,['People & Blogs'],"['00:07:42.949', '00:07:55.009']",N5WEC4azeOo
rKENpgtOxrI.14,['Howto & Style'],"['00:02:18.090', '00:02:29.730']",rKENpgtOxrI
e1HjNB9MBcA.28,['Travel & Events'],"['00:04:08.970', '00:04:19.320']",e1HjNB9MBcA
ZquD2FdeNP8.7,['Entertainment'],"['00:00:48.989', '00:01:08.460']",ZquD2FdeNP8
Xjd1zJpbVtY.34,['Howto & Style'],"['00:06:32.240', '00:06:55.279']",Xjd1zJpbVtY
awV9li_ypfw.1,['Comedy'],"['00:00:06.359', '00:00:24.900']",awV9li_ypfw
1gLZMPKS0eA.44,['Film & Animation'],"['00:08:56.440', '00:09:09.910']",1gLZMPKS0eA
mVevMeQVQVg.17,['Education'],"['00:08:39.020', '00:09:09.500']",mVevMeQVQVg
e7R4aLmEPyQ.31,['Howto & Style'],"['00:05:09.830', '00:05:21.770']",e7R4aLmEPyQ
QzpF1yDPHf0.28,['Science & Technology'],"['00:06:03.289', '00:06:15.860']",QzpF1yDPHf0
VJvpZpK9Rh8.30,['Education'],"['00:06:04.260', '00:06:16.710']",VJvpZpK9Rh8
rPN7-mP08y8.8,['Education'],"['00:01:20.960', '00:01:31.759']",rPN7-mP08y8
Xdzvd1z7gkg.43,['Film & Animation'],"['00:09:46.370', '00:09:56.779']",Xdzvd1z7gkg
nz5H6BBlDeE.33,['People & Blogs'],"['00:06:23.620', '00:06:35.740']",nz5H6BBlDeE
lT9mBXmJ9CY.3,['Education'],"['00:00:49.670', '00:01:01.460']",lT9mBXmJ9CY
rZTvD5sMJLc.19,['News & Politics'],"['00:02:46.310', '00:03:01.909']",rZTvD5sMJLc
nIgbAwaVg8Y.21,['Autos & Vehicles'],"['00:04:18.530', '00:04:32.690']",nIgbAwaVg8Y
lG3nPlIVwPU.1,['Science & Technology'],"['00:00:08.429', '00:00:18.480']",lG3nPlIVwPU
1KXhAgNUgRc.2,['Entertainment'],"['00:00:20.480', '00:00:35.440']",1KXhAgNUgRc
P1ilF3tnGPU.4,['News & Politics'],"['00:01:03.199', '00:01:19.950']",P1ilF3tnGPU
R-BDBR-hDTE.10,['Autos & Vehicles'],"['00:02:06.650', '00:02:24.640']",R-BDBR-hDTE
oOe44eFikxI.28,['Howto & Style'],"['00:05:10.139', '00:05:26.160']",oOe44eFikxI
nJcbZ1KLMd8.31,['Autos & Vehicles'],"['00:05:49.110', '00:06:05.790']",nJcbZ1KLMd8
DGwe8GRvwNI.47,['Autos & Vehicles'],"['00:09:15.010', '00:09:30.460']",DGwe8GRvwNI
l5krbbiceAs.16,['News & Politics'],"['00:02:20.620', '00:02:33.850']",l5krbbiceAs
FLmMxaTz7s4.4,['Gaming'],"['00:00:29.970', '00:00:48.090']",FLmMxaTz7s4
5697Henkxfs.7,['Sports'],"['00:02:09.780', '00:02:30.710']",5697Henkxfs
qw9IUulZf4s.25,['Autos & Vehicles'],"['00:05:48.910', '00:06:09.430']",qw9IUulZf4s
nmWQ4gqYuQ0.9,['Autos & Vehicles'],"['00:01:46.909', '00:02:08.440']",nmWQ4gqYuQ0
LQ6Lw6WNHxA.20,['Entertainment'],"['00:02:49.629', '00:03:05.200']",LQ6Lw6WNHxA
-0a2vOUbe-M.19,['News & Politics'],"['00:02:50.890', '00:03:02.709']",-0a2vOUbe-M
BT1alIkSSSg.1,['Autos & Vehicles'],"['00:00:05.040', '00:00:16.410']",BT1alIkSSSg
mH3uM35L-qk.1,['Sports'],"['00:00:16.020', '00:00:31.560']",mH3uM35L-qk
XkETE7Fzvc4.1,['Howto & Style'],"['00:00:17.220', '00:00:42.540']",XkETE7Fzvc4
H3oz9xOV01I.41,['Autos & Vehicles'],"['00:07:36.400', '00:07:50.020']",H3oz9xOV01I
_1OB1jBDZyI.4,['Entertainment'],"['00:00:29.820', '00:00:42.120']",_1OB1jBDZyI
Zw7MK31uFzM.15,['Science & Technology'],"['00:02:34.239', '00:02:48.340']",Zw7MK31uFzM
3Ac9Pg7e3x4.8,['Film & Animation'],"['00:01:50.149', '00:02:11.810']",3Ac9Pg7e3x4
bJpg9nKIBtQ.32,['Sports'],"['00:05:14.030', '00:05:29.150']",bJpg9nKIBtQ
ZAsryA0z6dc.15,['Autos & Vehicles'],"['00:04:01.540', '00:04:16.000']",ZAsryA0z6dc
3rOMWBDuW90.60,['Science & Technology'],"['00:10:03.350', '00:10:19.160']",3rOMWBDuW90
ZFoP7zNuSTs.6,['Travel & Events'],"['00:01:12.000', '00:01:27.450']",ZFoP7zNuSTs
rNJy2PqPk9s.3,['News & Politics'],"['00:00:41.340', '00:00:52.920']",rNJy2PqPk9s
qXxQTP4jL0o.3,['News & Politics'],"['00:00:36.270', '00:00:47.280']",qXxQTP4jL0o
FQfzBtzafoo.8,['Howto & Style'],"['00:01:07.430', '00:01:20.323']",FQfzBtzafoo
o7dE9uNo1GE.54,['Entertainment'],"['00:06:13.680', '00:06:31.370']",o7dE9uNo1GE
o7nSw4jr2RQ.9,['News & Politics'],"['00:01:00.180', '00:01:12.230']",o7nSw4jr2RQ
JLXvC_zykVo.30,['Science & Technology'],"['00:06:30.160', '00:06:40.720']",JLXvC_zykVo
ZW_YCWLyv6A.21,['Science & Technology'],"['00:02:49.319', '00:03:03.660']",ZW_YCWLyv6A
